निर्मला,निरमला
भाग्यविधाता,भाग्यबिधाता
डांट,डाट
जुर्माना,जुरमाना
कॉन्वेंट,कानवेन्ट
मंचित,मन्चित
सप्लाई,सपलाई
पारिवारिक,परिवारिक
और,अउर
छटपटाना,छटपटावल​
बहनोई,बहनोई
स्वादिष्ट,सोवादिष्ट
सैनिकों,सैनिक
दुकानदार,दोकानदार
कद,कद
हेलमेट,हेलमेट
शामिल,सामिल
फौज,फउज
पूछना,पूछल
दिखाना,देखावल
दौरी,दउरी
आदरपूर्वक,आदरपूरवक
लगें,लगलन
दर्द,दरद
प्याला,पियाला
छुहाड़ा,छोहाड़ा
ज्योतिर्लिंगन,जोतिर्लिंगन
प्रस्ताव,प्रसताव
स्कूलों,स्कूलन
मेहमान,मेहमान
खौलते,खौउलत
कूदना,कूदल
योजना,योजना
खाना,खाइल
सुनामी,सोनामी
नौकरशाही,नव​करसाही
भूँकना,भूँकल
दहशतगर्दी,दहसतगरदी
खिंचना,खिंचाइल
फूलना,फूलल
निहायत,नेहायत
शर्म,सरम
ख़रगोश,ख़रगस​
पिशाच,पिचास
मायने,मायने
कीटाणु,केटानु
गेंद,गेन्दा
हल्वा,हलुवा
धुनना,धुनल
शासन,सासन
जीवंत,जीवन्त
देवतों,देवतन
सतनारायण,सतनरायन
हाईस्कूल,हाईइसकूल
खिचड़ी,खिचरी
चक्कर,चक्कर
पतंग,पतंग
कब्जा,कब्जा
ज्यादातर,जादातर
मरोड़,मरोड़
चौपट​,चउपट
मचकना,मचकल
रौशनी,रोसनी
शाकाहारी,साकाहारी
स्वाद,सुवाद
एक​,एगो
गड़बड़ाना,गड़बड़ाइल
उनकी,ओनकी
इर्द,इर्द
अभी,अब्बे
हौसला,होसिला
प्रबंध,परबन्ध
तुम्हारे,तुहरे
वरी,वरी
दर्शकों,दरसकन
खरीदा,खरीदल
विश्मयकारी,बिस्मयकारी
शानदार,सानदार
डार,ढार
प्रतिमा,परतिमा
नाशवान,नास​वान
गुणा,गुना
अत्याचार,अतियाचार
फुर्ती,फुरती
प्रतीकों,प्रतीकन
प्राणवान,प्रानवान
दुर्दशा,दुरदसा
खिलौना,खिलउना
शुरुआत,सुरुआत
कैसे,कइसे
खूँखार,खूँखार
व्यवस्था,बेवस्था
धनराशि,धनरासि
शुभचिंतक,सुभचिन्तक
किकुरना,किकुरल
लाभकारी,लाभकारी
मंजूरी,मन्जूरी
तुम्हारा,तुहार
सौगात,सव​गात
ग्राहकों,गाहकन
चैन,चएन
फैलाव,फइलाव
घड़ी,घरी
फ्री,फिरीं
स्वभाव,सोभाव
रेंगना,रेंगल
वाहन,बाहन
कामचलाऊ,कामचलाऊ
कसैली,कसइली
इत्तफ़ाक़,इत्तेफ़ाक़
कमीशन,कमीसन
पहन,पहिर
डूबत,डूबता
आठवाँ,अठवाँ
जैतून,जइतून
डिउटी,डियूटी
खामोश,खामोस​
बहकाना,बहकावल
शिक्षक,सिच्छक
बजना,बजल
जल​,जर
पहचान,पहिचान
उम्र,उमर
कलयुग,कलजुग
अन्न,अन्
करवाना,करावल
घड़ियाल,घरियार
उत्पाती,उतपाती
करवाना,करवावत
वारंट,वारन्ट
आदर्श,आदर्स
बेहतर,बेहतर
बढ़ाना,बढ़ावल
किडनी,किडनी
नाचते,नाचत
आलोचकों,आलोचकन
करैला,करइला
प्रकाश,परकास​
दुखाना,दुखवावल
पेश,पेस
बदौलत,बदउलत
इक्कीस,एकइस
चिरैया,चिरइया
चुआना,चुआवल
सर्विस,सरबिस
प्राण,प्रान
प्रतिष्ठान,परतिस्ठान
यमराज,जमराज
सुधार,सुधार
जोश,जोस
मजदूर,मजूर
सजा,सजल
हड़ताल,हर​ताल
कुम्भ,कुम्भ
जमाना,जामल
कटना,कटाइल
खुरकना,खुरकल
अधिकांश,अधिकान्स​
कारणों,कारनन
चंडाल,चन्डाल
चौकश,चउकस
दस्तूर,दसतूर
जमीन,जमीन
विश्वविद्यालयों,बिश्वविद्यालयन
भक्तिपरक,भकतिपरक
आधारभूत,अधारभूत
मिलिट्री,मिलिटरी
उस्ताद,उसताद
योग्य,जोग्य
धन्यवाद,धन्वाद
पर्दा,परदा
दिमाग,देमाग​
अनुसन्धान,अनुसनधान
घटा,घटल
छिपाना,छिपावल
दुल्हनिया,दुलहनिया
आस्थावान,आस्थावान
कंचा,कन्चा
सुननेवाला,सुनेवाला
दिनों,दिनन
बरियार,बरियार
वगैरह,वगैरह
बस्ता,बस्ता
सौंदर्य,सव​न्दर्य
आर्सेनिक,आरसेनिक
पकवान,पकवनी
अक्सर,अकसर
प्रेरक,प्रेरक
कैसा,कइसा
कुविचार,कुबिचार
शुतुरमुर्ग,स​तुरमुर्ग
वाचिक,वाचिक
चप्पल,चप्पल
उत्सव,उतसव
पर्याप्त,परयाप्त
औषधि,औसधि
बहन,बहिन
हीरोइन,हेरोइन
उखड़ना,उखड़ल
ठिकाना,ठेकाना
दौड़,दउर
झापड़,झापड़
तस्वीर,तसबीर
प्रशासन,परसासन
घूमना,घूमल
हुक्म,हुकम
डॉक्टर,डगडर
तत्काल,ततकाल
देखभाल,देखभाल
महेंद्र,महेन्दर
मात्रा,मातरा
इंसाफ,इन्साफ
भौजी,भउजी
उल्टा,उलटा
कुर्बानी,कुरबानी
उचित,ओचित
बकरें,बकरन
खिचड़ी,खीचरी
सानना,सनाइल
निर्दय,निरदइय
परोसना,परोसल
जुटना,जुटना
गोर्की,गोरकी
दुरावस्था,दुरावस्था
खैरात,खइरात
आंसू,आसू
पुत्री,पुत्री
जैकार,जैकार
ढोंगी,ढोंगी
चरवाहा,चरबाहा
पैंसठ,पैंसठ
मैल,मइल
थोपना,थोपल
बैंगन,बएगन
विदेशी,बिदेसी
बलबलाना,बलबलाइल
प्रणाम,प्रनाम​
श्रद्धालु,श्रद्धालु
स्पीड,इस्पीड
देवप्रयाग,देवपरयाग
खंडन,खन्डन
वैसे,वइसे
ढरकाना,ढरकावल
तसल्ली,तसल्ली
मुस्कुरात,मुसकुरात
चुस्त,चुस्त
चौउथा,चउथा
गेहुं,गोहुँ
मैदान,मयदान
दोसरा,दोसरा
विवेचन,बिवेचन
जुबान,जबान
संरचना,संरचना
वनक्षेत्रा,बनक्षेत्रा
चैत,चइत
धन्यवाद,धन्यवाद
घरघराना,घरघराइल
प्रवचन,परवचन
खुदाई,खोदाई
तेवहारों,तेवहारन
त्याग,तेयाग
मैनेजमेंट,मैनेजमेन्ट
मैथिली,मैथिली
पुराना,पुरनका
विनम्रतापूर्वक,बिनम्रतापूरवक
कैमरामैन,केमरामैन
अंदाज,अन्दाज
प्यासा,पियासल
व्यक्तित्व,बेक्तित्व
गजब,गजबे
वकालत,ब​कालत
प्रचारक,परचारक
पराक्रम,पराकरम
प्रजा,परजा
भौकाल,भउकाल
लौटना,लउटल​
पूर्वज,पूरवज
छपवाना,छपाई
नाभि,नाबी
घड़घड़ाना,घड़घड़ाइल
सोचके,सोचिके
बिसरना,बिसरल
रिश्तेदार,रिस्तेदार
हीरोइन,हेरोइन
गहरा,घहरा
पूर्वज,पूरवज
पटक,पटक
निर्देश,निरदेस​
गणेश,गनेस
डालना,डालल
खलनायकों,खलनायकन
पाकिस्तान,पकिसतान
जूता,जूतवा
चीरना,चीरल
स्व​भाविक,सोभाविक
बनाया,बनावल
क्रियापदन,किरियापदन
जोश,जोस
खर्चा,खरचा
खालिषा,खलिसा
जन्मा,जनमल​
स्यान,सेयान
प्रवाल,प्रबाल
हेलिकॉपटर,हेलीकाप्टर
दस्तावेज,दस्तावेज
वेश,भेस​
जन्म​,जनम
उतरा,उतरल
पुर्जा,पुरजा
डुबाना,डुबावल
पहले,पहिले
ज्यादातर,जादातर
मुहैया,मोहइया
नारा,नारा
भैया,भईआ
ठोंकना,ठोंकल
गाय,गाइ
चंचल,चन्चल
ग्राहक,गहकी
अर्थवत्ता,अर्थवत्ता
उद्द्योग,उद्योग
प्रस्ताव,प्रसताव
लड़कियाँ,लड़कियन
मसौरा,मसउरा
बसाना,बसावल
कवियों,कवियन
पाकेट,पाकिट
बेशक,बेसक
बयान,बेयान
ट्रायल,टरायल
दिखाया,देखावल
अक्षरों,अक्षरन
फ्रिज,फिरिज
मनमौजी,मनमउजी
मास्टरी,मासटरी
उम्मीदवार,उमेदवार
शुक्ला,सुकला
विस्तार,बिसतार
सुलगा,सोलगा
हल्ला,हल्ला
दुल्हन,दुलहन
घुसना,घुसल
तिलमिलाना,तिलमिलाइल
रक्त,रकत
निर्मल,निरमल
कोमल,कोमल
बेहोश,बेहोस
टूटा,टूटल
बोझना,बोझल
जानना,जानल
ध्यान​,धेयान
फर्क,फरक
मौजूदा,मवजूदा
यार,इयार
सर्वे,सर्वे
बजाना,बजावल
मशवरा,मसवरा
ढकोसला,ढकोसला
सावधानी,सवधानी
सिंधु,सिन्धु
सोचा,सोचल
चौकी,चउकी
पंजाब,पन्जाब
टोकना,टोकल
​खानदान,खनदान
धधाना,धधाइल
नारियल,नरियर
न्याय,नेयाय
मजदूरों,मजूरन
कमेंट्री,कमेन्टरी
यात्रा,जतरा
फ्लाइट,फलाइट
इतिहास,इतिहास
बिछावन,बिछवना
छण,छन
राक्षस,राछछ
स्टार,स्टार
साधना,साधल
आर्गेनिक,आरगेनिक
जरूरत,जुरूरत
बनाना,बनावल
जिला,जिल्ला
सामान,समान
जताता,जतावत
वनस्थली,ब​नस्थली
असुविधाजनक,असोबिधाजनक
गतिशीलता,गतिसीलता
रैयत,रइअत
सम्प्रदाय,सम्परदाय
समझाना,समझावल
सौपना,सउपल​
ठगना,ठगल
लक्ष्मी,लछिमी
परिणाम,परिनाम
पंद्रह,पन्रह
बेमतलब,बेमतलब
उम्र,उमर
बाकि,बाकि
प्याज़,पियाज़
विद्रोही,बिदरोही
तराश,तरास​
प्रताड़ना,प्रतार​ना
सुनाये,सुनौले
करेला,करइला
खुशहाल,खुस​हाल
हिंदी,हिंदी
महेश​,महेस​
शेयर,सेयर​
जलाशय,जलास​य
तैनात,तैनात
चूड़ी,चूरी
भस्म,भसम
मुश्किल,मोस्किल
मार्फत,मारफत
भागा,भागल
नौकरी,नोकरी
बैनर,बैनर
आशावान,आसावान
स्वर्ग,सर्ग
स्वर्णमृग,स्वर्णमृग
मारकंडे,मार्कण्डे
हौआ,हउआ
पुरानों,पुरानन
बोला,बोलल
समझना,समझल
मरना,मरल
धार्मिक,धारमिक
शान्त,सान्त
प्रतिमान,परतिमान
अप्रैल,अप्रेल
बढ़ना,बढ़ल
पढ़ना,पढ़ल
रूका,रूकल
दास,दास
लापरवाह,लपरवाह
मर्द​,मरद
है,हउ
उजाला,ओजाला
शताब्दी,स​ताबदी
बगुला,बकुला
इतवार,अतवार
दफ्तर,दफतर
सर्गबद्ध,सर्गबद्ध
लिखागया,लिखाइल
उग्र,उग्र
शीश,सीस​
जिया,जीयल
गधा,गदहा
समर्थन,समरथन
चिड़िया,चिरइया
देशसेवा,देस​सेवा
वालें,वालन
दुर्गति,दुरगति
भिखारीयों​,भिखारियन
चरण,चरन
तौलवाना,तउलवावल
बैल,बइल
दुनिया,दोनिया
वृक्ष,बिरिछ
विपक्षी,बिपक्षी
आसमान,असमान
कर्मचारियों,करमचारियन
सौतेला,सव​तेला
आशा,आसा
बुला,बोला
महर्षि,महरसि
मुहूर्त,मुहूरत
हरांसी,हरांसी
गार्जियन,गारजियन
डरावना,डरावल
परिवहन,परिवहन
अफसोस,अपसोस
रामायण,रमायन
जन्म,जनम
बुढा,बुढऊ
नब्ज,नबज
शांतिमय,सान्तिमय
दूरदर्शन,दूरदरसन
शीलता,सीलता
सकारना,सकारल
जानमार,जनमार
मण्डल,मन्डल
निर्माता,निरमाता
चाभी,चाबी
ऊंचाई,ओचाई
तत्परता,ततपरता
फींचना,फींचल
सर्द,सर्द
डराया,डेराइल
अपना,आपन
शराब,सराब​
निस्वार्थ,निस्वार्थ
तारीख,तारीख
शायद​,साएद
खिलना,खिलल
कल्याण,कल्यान
पहुँचाना,पहुँचावल
रहित,रहित
टिप्पणी,टिप्पनी
भूना,भून​ल
मुस्लिम,मुसलिम
सिपाही,सिपाहि
ऑस्ट्रेलिया,अस​ट्रेलिया
आजीविका,अजीविका
एतना,इतना
तेतालीस,तेतालीस
इंसानियत,इन्सानियत
कनेक्शन,कनेकसन
शिवरतन,सिवरतन
जपना,जपल
अस्पतालों,असपतालन​
सहमना,सहमल
शब्द,सब्द
तोड़,तोर
मूर्ति,मूरति
दैत्य,दइत
साप्ताहिक,सापताहिक
इर्ष्या,इरसया
गरीबों,गरीबन
प्रेत,परेत
पृथ्वी,पृथ्बी
सार्वजनिक,सारवजनिक
कौन,कवन
चौहान,चव​हान
लुटना,लूटल
दूसरा,दोसरा
पुण्य,पुन्य
बन्द,बन्द
खर्चबर्च,खरचबरच
समर्थक,समरथक
सुमना,सुमना
प्रकार,परकार
मर्म,मरम
विस्तर,बिसतर
शर्त,स​र्त
दर्जनभर,दरजनभर
कब्र,कबर
नदीयों,नदियन
तुम्हारा,तुहार
उभरना,उभरल
जुड़वा,जोड़वा
मत,मत
शिवसेना,सिवसेना
रसैनिक,रासायनिक
हिस्सा,हिस्सा
परे,परे
कुणाल,कुनाल
जीवाश्म,जीवास्म
आजाद,अजाद
बीमारी,बेमारी
दरिंदों,दरिन्दन
चमत्कार,चमतकार
नैरोली,नैरउली
दागना,दागल
चरित्र,चरितर
दुर्गा,दुरगा
अट्ठारह,अठारह
चलावे,चलावे
कैकेयी,कैकेयी
उदासीन,ओदासीन
हानिलाभ,हानिलाभ
किस्म,किसम
नुकसान,नोकसान
संन्यासी,सन्यासी
अंतर्विरोध,अंतरबिरोध
महाकाव्य,महाकाव्य
चलाना,चलावल​
बहुचर्चित,बहुचरचित
ऊर्जा,ऊरजा
इस्तीफा,इसतीफा
जायेवाला,जाएवाला
निगाह,नेगाह
दीवार,देवाल
शिकायत,सिकायत
दुर्भाग्य,दुरभाग्य
करुणा,करुना
जूनियर,जूनियर
त्यागी,तेयागि
निश्चिन्त,निसचिन्त​
पीना,पिअल
दुल्हा,दुलहा
आजमाना,अजमावल
पतनशील,पतनसील
डराना,डरावल
लौंडा,लउंडा
लटकाना,लटकावल
अस्पताल,असपताल
परिवहन,परिब​हन
दोपहर,दुपहर
बाजार,बजार
भेंटाया,भेंटाइत
अतिथियों,अतिथियन
फड़कन,फरकल
शांत,सान्त
पुराना,पोराना
बरियारा,बरियारा
स्थापना,ईस्थापना
लाचार,लचार
उसूल,ओसूल
संशोधन,सन्सोधन
कुर्ता,कुरता
शिखर,सिखर
नाशपाती,नास​पाती
गर्ल,गर्ल
आत्मिक,आतमिक
शर्मीला,सरमीला
लक्ष्य,लक्ष
उगल,उगल
कफ्र्यू,करफू
आंकडा,आँकड़ा
जानकारी,जनकारी
व्यापक,बेयापक
मच्छरदानी,मछरदानी
सुव्यस्थित,सुबेवस्थित
नारायण,नारायन​
पशु,पसु
जोड़ना,जोड़ल
बेहोश,बेहोस
लेटना,लेटल
आवास,अवास
हाशिया,हासिया
कर्जा,करजा
सुर्तीं,सुरतीं
सेल्फी,सेल्फी
जिम्मेदार,जिमवार
शब्दों,सब्दन
अक़्ल,अकल
पूर्ती,पूरती
कॉलेज,कालेज
ध्वजा,धवजा
प्यास,पिआस
इन्सपेक्टर,इन्सपेकटर
इंसान,इन्सान
मुकाबला,मोकाबला
नोट,नोटवा
अकेलापन,अकेलापन
नहाते,नहात
भागना,भागल
तुमसे,तोम​से
शर्म,सरम
तत्कालीन,ततकालीन
भैंस,भइंस
विंटर,विन्टर
तनावग्रस्त,तनावगरस्त
फलाहार,फलहार
दोनो,दूनू
संपर्क,संपर्क
हरिद्वार,हरिदवार
शोषित,सोसित
शेर,सेर
मिलते,मिलत
ककड़ी,ककरी
पसन्द,पसन
कलश,कलस
प्रभावी,परभावी
कर्ज,करज
विधान,बिधान
क्षणवादी,क्षन​वादी
जलवायु,जलबायु
फायदा,फायेदा
पुरनिया,पुरनिया
दूसरा,दोसर
तर्क,तर्क
अहिंसक,अहिन्सक
मैला,मइल
विरुद्ध,बिरुद्ध
यकीन,यकीन
अनजान,अनजान
ढिबरी,ढिबरी
उल्टा,उलटा
माहौल,माहाव​ल
अंदर,अन्दर
पूझ,पूझ
लौकी,लउकी
घड़ी,घरी
सवालों,सवालन
चलना,चलल
आवेश,आवेस​
दौरान,दउरान
बुढ़ापा,बुढ़उती
हर्ज,हरज
कस्तूरी,कसतूरी
श्रद्धा,सरधा
आगाह,अगाह
दाहिना,दहिना
हलवा,हलुआ
नवजागरण,नवजागरन
अंदाज,अन्दाज
रहें,रहन
मुताबिक़,मोताबिक
शहरों,स​हरन
पाताल,पाताल
दोगना,दुगना
मिलना,मिलल
बर्फ,बरफ
योग,जोग
आधुनिक,आधुनिक
इतना,एतना
जल्दीही,जलदिए
दशरथ,दसरथ
भाषणबाजी,भासनबाजी
देश,देस
हड़काना,हड़कावल
प्रचलित,परचलित
निस्चिन्त,निसचिन्त
भण्डार,भन्डारण
आगमन,आगमन
चिथड़ी,चिथरी
ठहरना,ठहरल
चल,चलबे
सुकांत,सुकान्त
नौकरी,नव​करी
सहयोगी,सहयोगी
विपत्ति,बीपत्ति
असामान्य,असमान्य
आजकल,आजकाल
आदेश,आदेस
आचार्य,आचार
हैरान,हैरान
बदलना,बदलल
ग्यारह,इगारह
शानदार,सानदार
इंजिनियर,इनजिनियर
मुलायम,मोलायम
दुनिया,दोनिया
भूलना,भूलल
मौजूद,मवजूद
द्वादश,द्वादस
संसार,सन्सार
सर्वाधिक,सरवाधिक
नजरअंदाज,नजरअन्दाज
जुल्म,जुलुम
छोड़ना,छोरना
जुनून,जुनून
आभास,अभास
गाली,गारी
नर्क,नरक
अभूतपूर्व,अभूतपूर्व
जलाना,जरावे
धर्म,धरम
चिंतन,चिन्तन
द्रोह,दरोह
प्रचार,परचार
हर्जाना,हरजाना
ढोंग,ढोंग
मर्दाना,मरदाना
महानगरों,महानगरन
मैया,मइया
परख,परख
सबका,सबकर
माँजना,माँजल
देग,डेग
नौबत,नउबत
लौकते,लउकत
नेशनल,नेसनल
तृतीया,तृतीया
मुर्ख,मुरख
नुकीला,नोकीला
ज़िन्दगी,जिनगी
याद,इयाद
गुर्दा,गुरदा
औजाना,अउंजाइल
अनुशाशन,अनुसासन
लाईसेंस,लाइसेन्स
प्राइमरी,पराइमरी
उपजाऊ,ओपजाऊ
परेशानी,परसानी
मैला,मइलाह
दोतीन​,दुतीन​
शातिर,सातिर
बसा,बसल
प्रस्तुत,प्रसतुत
छपा,छपल
भँजाना,भँजावल
व्यासकुण्ड,बेयासकुण्ड
पूर्वांचल,पूरवान्चल
तौर,तौर
मलहम,मरहम
प्रभु,परभु
जौहर,जौहर
अशोक,असोक
क्रम,क्रम
लेखकों,लेखकन
प्रेमकथा,परेमकथा
कृति,किरति
रिवाज,रेवाज
ढकेलना,ढकेलल
मौली,मउली
चौथाई,चउथाई
एक्शन,एकसन
यश,यस​
कंजास,कन्जास
जुल्मी,जुलुमी
मूल्यहीन,मूल्यहीन
सृजन,सिरजन
आशा,आसा
मेज,मेज​
सरसो,सरिसो
बुझाना,बुझाइल
करोड़,करोर
फैशन,फैसन
निर्देशन,निरदेसन
औरत,अउरत
डाल,डार
फुलाना,फुलात
जीतते,जीतत
बैलें,बइलन​
निर्णय,निरनय
इम्प्रेशन,इमप्रेसन
ऐसा,अइसा
सुस्ता,सुसता
इसमें,एम्में
आवाज,अवाजि
आवश्यकता,आवस​कता
प्रदेश,परदेस
पेरना,पेरल
चमत्कारी,चमतकारी
लोकभाषा,लोकभासा
कौआ,कउवा
लोकगीतों,लोकगीतन
अंत,अन्त
चालाक,चलाक
साधारण,साधारन
प्रतिज्ञा,परतिगया
तूफान,तूफान
लौटते,लवटत
अपहरण,अपहरन
वचन,बचन
पसंद,पसन​
फोड़ना,फोरना
जरूरी,जरूरी
फरमाइश,फरमाइस
पत्थर,पत्थर
संयुक्त,सयुक्त
फर्जी,फरजी
स्थान,ईस्थान
तैसा,तइसा
उपदेश,उपदेश
पैसा,पैइसा
समुद्र,समुन्दर​
पुस्तकालय,पुसतकालय
गर्मी,गरमी
रोशनी,रोसनी
पुजारी,पोजारि
मछुआरों,मछुआरन
कानून,कनून
टहेल,टहरत
इम्तिहान,इन्तहान
निर्दलीय,निरदलीय
भक्ति,भक्ति
बुझाना,बुझावल
पोछना,पोछल
दुसरा,दोसर
अगला,अगिला
उस्मान,उसमान
पाण्डेय,पान्डे
रेगिस्तान,रेगिसतान
मजबूरन,मजबूरन
खिला,खिलल
चूकना,चूकल
मस्ती,मस्ती
एकलौता,एकलउता
भैंस,भइँस
कुशल,कुस​ल
कोसना,कोसल
कितना,केतना
जिंदगियां,जिनिगिया
बुखार,बोखार
छवि,छबि
निर्विरोध,निरविरोध
पड़ता,पड़त
उंगली,अंगुरी
रस्म,रसम
दिनेशर,दिनेसर
शासनकाल,सासनकाल
शर्मा,सरमा
बेशर्म,बेसरम
फिल्मों,फिलिमन
मनमौजी,मनमउजी
आकार,अकार
लुटाना,लुटावल​
महाशय,महास​य
मर्जी,मरजी
कसौटी,कसउटी
उसका,ओसका
स्वार्थ,सोवार्थ
इंस्पेक्टर,इन्सपेक्टर
उपेक्षा,ओपेक्षा
कराना,करावल
खत्म,खतम
स्थापित,ईस्थापित
सुडौल,सुडौल
बदलते,बदलत
फैलना,फइलल
बेचैन,बेचैन
लड़का,लइका
शराबी,सराबी
धनी,धनी
तनख्वाह,तनखाह
झौस,झँउस
आकर्षण,आकरसन​
प्रधान,परधान
निर्धन,निरधन
मकानों,मकानन
दौड़ना,दउरल
राज्यों,राज्यन
रोशनी,रोसनी
दूहना,दूहल
बेशर्त,बेस​र्त
हीरोइनों,हीरोइनन
नींद,नीद
बैर,बइर
समर्थन,समरथन
प्रयास,परयास
प्राण,परान
व्यावहारिक,बेवहारिक
वर्गीय,वरगीय
प्रशाद,परसाद
खुरचना,खुरचल
इलाज,एलाज
घटाना,घटावल
किवाड,केवाड़ी
संदिग्ध,सन्दिग्ध
गुलदस्ता,गुलज​स्ता
विश्रामगृह,बिश्रामगृह
जिंदा,जिन्दा
चींटी,चिंउटा
शिष्य,सिस्य
दुबारा,दोबारा
अंधा,अन्धा
फॉरमूला,फारमूला
जुलना,जुलल
मुहर,मोहर
कारगुजारी,करगुजारी
झेलते,झेलत
जैसे,जइसे
बेधक,बेधक
व्यवस्थापक,बेवस्थापक
कौशल,कौसल
मंत्रियों,मन्त्रियन
उम्मीदवार,उमेदवार
आधार,अधार
तुरन्त,तुरत
पेशगी,पेस​गी
दशक,दस​क
फूत्कार,फूतकार
मार्ग,मार्ग
फिटकिरी,फिटकरी
करुणा,करूना
पीपल,पीपर
सर्वोत्तम,सरवोत्तम
फुर्ती,फूरति
बिज़्नस,बिजनेस
नुकसान,नोकसान
सुनिश्चित,सुनिशचित
बतियाना,बतियावल
खरीदना,खरीदल
जन्मदिन,जनमदिन
एकइस,एकइस
फुर्सत,फुरसत
पहाड़ों,पहाड़न
छौंक,छउक
मतिभ्रम,मतिभरम
अतरना,अतरल
झगड़े,झगरै
समझौता,समझवता
वोटरों,वोटरन
रहा,रहल
चैम्बर,चेम्बर
कोंचना,कोंचल
तैसे,तइसे
ठेलना,ठेलल
व्यवहार,बेवहार
खर्च,खरच
कर्जदार,करजदार
सजा,सजल
सकता,सकेला
आमदनी,अमदनी
ऋषि,रिसी
भाषिक,भासिक
किस्म-किस्म,किसिम-किसिम
प्रानघाती,परानघाती
सँवारना,सँवारल
कलयुग​,कलजुग
असमर्थता,असमर्थता
करनेवाला,करेवाला
बुझाना,बुझाइल
साहब,साब
करखाना,करखाना
प्रयोग,परयोग
क्रोधित,करोधित
बांध,बाध
जातिवाद,जातिवाद
पुरुष,पुरुस​
रिक्शा,रेक्सा
फैसला,फइसला
मालिक,मालिक
